station_id,easting_m,northing_m,height_initial_m,delta_e_m,delta_n_m,delta_u_m,horizontal_magnitude_m,azimuth_deg,rtk_e_cm_day,rtk_n_cm_day,rtk_u_cm_day,insar_pre_e_cm_day,insar_pre_e_cm_day_window_std,insar_pre_e_cm_day_valid_pixels,insar_event_e_cm_day,insar_event_e_cm_day_window_std,insar_event_e_cm_day_valid_pixels,insar_pre_u_cm_day,insar_pre_u_cm_day_window_std,insar_pre_u_cm_day_valid_pixels,insar_event_u_cm_day,insar_event_u_cm_day_window_std,insar_event_u_cm_day_valid_pixels,grid_row,grid_column,grid_center_easting_m,grid_center_northing_m,station_to_grid_center_m
14,444884.8010000000,1942990.4800000000,1257.9560000000,0.0120000000,0.0109999999,-0.1060000000,0.0162788206,47.4895531863,0.0032876712,0.0030136986,-0.0290410959,0.0912995502,0.1580569780,25,0.4182042343,0.1483730681,25,0.0204666971,0.0552228224,25,0.2204516336,0.0425913196,25,36,54,444890.0000000000,1942995.0000000000,6.8891219325
15,444868.7340000000,1943024.7690000001,1260.0500000000,0.0950000000,0.0459999999,-0.0020000000,0.1055509355,64.1632458532,0.0260273973,0.0126027397,-0.0005479452,0.1027194064,0.1454523790,25,0.4440098357,0.1508231318,25,0.0051683345,0.0605168434,25,0.2208192858,0.0414658081,25,35,53,444870.0000000000,1943015.0000000000,9.8506911941
16,444937.8610000000,1942942.9630000000,1255.3460000000,0.0430000000,0.0040000000,0.0080000000,0.0431856458,84.6854543873,0.0117808219,0.0010958904,0.0021917808,0.0991482970,0.1658655792,25,0.3634351111,0.1357771295,25,0.0239807847,0.0654651137,25,0.2146800073,0.0492628141,25,39,56,444930.0000000000,1942935.0000000000,11.1894901582
17,444826.9590000000,1942664.3189999999,1279.8210000000,0.9350000000,0.8840000001,-0.0280000000,1.2867326840,46.6060029867,0.2561643836,0.2421917808,-0.0076712329,0.4784474219,0.5043886204,24,0.8148094747,0.3928882289,25,0.0868874270,0.1976609821,24,0.2245442458,0.1060719043,25,53,51,444830.0000000000,1942655.0000000000,9.8026242404
19,444856.1330000000,1942718.1529999999,1272.5560000000,0.9860000000,0.9390000000,-0.0240000000,1.3615862074,46.3986320682,0.2701369863,0.2572602740,-0.0065753425,0.7619426814,0.4375452985,23,0.8784417541,0.3558536267,25,0.0620670429,0.1200350623,23,0.2167108368,0.0859409455,25,50,52,444850.0000000000,1942715.0000000000,6.8960204466
20,444868.7480000000,1942733.9439999999,1271.9060000000,0.8970000000,1.0280000002,-0.0400000000,1.3643287728,41.1069128971,0.2457534247,0.2816438357,-0.0109589041,0.6153522746,0.3742341822,24,0.7551455066,0.2994740263,25,0.0500249479,0.1063320175,24,0.2111189075,0.0550515512,25,49,53,444870.0000000000,1942735.0000000000,1.6378766743
21,444320.9220000000,1942786.7460000000,1328.1220000000,0.5260000000,0.0680000000,-0.2020000000,0.5303772242,82.6337961093,0.1441095890,0.0186301370,-0.0553424658,0.1774652327,0.1248995703,25,0.5674850684,0.2818174761,25,-0.1040606722,0.0604095727,25,0.3183927280,0.1928114881,25,46,26,444330.0000000000,1942795.0000000000,12.2694172640
23,444929.6910000000,1943296.4870000000,1262.3750000000,-0.0150000000,0.0000000000,0.0010000000,0.0150000000,270.0000000000,-0.0041095890,0.0000000000,0.0002739726,-0.0372391225,0.0577621732,25,0.2391557210,0.0366584190,25,0.0038610018,0.0367825197,25,0.1679884951,0.0291548502,25,21,56,444930.0000000000,1943295.0000000000,1.5187659464
24,444759.6170000000,1943183.1690000000,1275.3200000000,0.2560000000,0.0440000000,0.0400000000,0.2597537295,80.2475750593,0.0701369863,0.0120547945,0.0109589041,0.0649887764,0.1485602871,25,0.5372930918,0.1491395510,24,0.0000031033,0.0680282238,25,0.2058266744,0.0396113695,24,27,47,444750.0000000000,1943175.0000000000,12.6182110460
25,444813.6800000000,1942973.9860000000,1266.7960000000,0.4760000000,0.1150000000,-0.1990000000,0.4896948029,76.4177997643,0.1304109589,0.0315068493,-0.0545205479,0.3695316231,0.0933834630,25,0.7686685271,0.1364892581,25,-0.0193502851,0.0441717462,25,0.1848865469,0.0337052091,25,37,50,444810.0000000000,1942975.0000000000,3.8171450064
